Disease,Symptoms
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever"
Coronavirus disease 2019 (COVID-19),"fever, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fever, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, shortness breath"
Coronavirus disease 2019 (COVID-19),"fever, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, loss smell"
Coronavirus disease 2019 (COVID-19),"barky cough, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, shortness breath"
Coronavirus disease 2019 (COVID-19),"barky cough, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, loss smell"
Coronavirus disease 2019 (COVID-19),"loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"fatigue, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fever, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fever, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, shortness breath"
Coronavirus disease 2019 (COVID-19),"barky cough, fever, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, loss smell"
Coronavirus disease 2019 (COVID-19),"fever, loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fever, loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, loss smell, shortness breath"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, loss smell, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"fatigue, fever, loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, loss smell, shortness breath, sometimes symptom"
Coronavirus disease 2019 (COVID-19),"barky cough, fatigue, fever, loss smell, shortness breath, sometimes symptom"
Cough,runny nose
Cough,fever
Cough,barky cough
Cough,"fever, runny nose"
Cough,"barky cough, runny nose"
Cough,"barky cough, fever"
Cough,"barky cough, fever, runny nose"
Crimean Congo haemorrhagic fever (CCHF),vomiting
Crimean Congo haemorrhagic fever (CCHF),fever
Crimean Congo haemorrhagic fever (CCHF),headache
Crimean Congo haemorrhagic fever (CCHF),diarrhea
Crimean Congo haemorrhagic fever (CCHF),testicular pain
Crimean Congo haemorrhagic fever (CCHF),bleeding skin
Crimean Congo haemorrhagic fever (CCHF),"fever, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"fever, headache"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever"
Crimean Congo haemorrhagic fever (CCHF),"fever, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, headache"
Crimean Congo haemorrhagic fever (CCHF),"headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, headache"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"fever, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"fever, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, headache"
Crimean Congo haemorrhagic fever (CCHF),"fever, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, headache"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, headache"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"fever, headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, headache"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"diarrhea, fever, headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, headache, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, fever, headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, headache, testicular pain, vomiting"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, headache, testicular pain"
Crimean Congo haemorrhagic fever (CCHF),"bleeding skin, diarrhea, fever, headache, testicular pain, vomiting"
Dehydration,nausea
Dehydration,headache
Dehydration,dizziness
Dehydration,profuse sweating
Dehydration,fatigue
Dehydration,"headache, nausea"
Dehydration,"dizziness, nausea"
Dehydration,"nausea, profuse sweating"
Dehydration,"fatigue, nausea"
Dehydration,"dizziness, headache"
Dehydration,"headache, profuse sweating"
Dehydration,"fatigue, headache"
Dehydration,"dizziness, profuse sweating"
Dehydration,"dizziness, fatigue"
Dehydration,"fatigue, profuse sweating"
Dehydration,"dizziness, headache, nausea"
Dehydration,"headache, nausea, profuse sweating"
Dehydration,"fatigue, headache, nausea"
Dehydration,"dizziness, nausea, profuse sweating"
Dehydration,"dizziness, fatigue, nausea"
Dehydration,"fatigue, nausea, profuse sweating"
Dehydration,"dizziness, headache, profuse sweating"
Dehydration,"dizziness, fatigue, headache"
Dehydration,"fatigue, headache, profuse sweating"
Dehydration,"dizziness, fatigue, profuse sweating"
Dehydration,"dizziness, headache, nausea, profuse sweating"
Dehydration,"dizziness, fatigue, headache, nausea"
Dehydration,"fatigue, headache, nausea, profuse sweating"
Dehydration,"dizziness, fatigue, nausea, profuse sweating"
Dehydration,"dizziness, fatigue, headache, profuse sweating"
Dehydration,"dizziness, fatigue, headache, nausea, profuse sweating"
Dementia,problem language
Dementia,emotional problem
Dementia,decreased motivation
Dementia,decreased ability think remember
Dementia,"emotional problem, problem language"
Dementia,"decreased motivation, problem language"
Dementia,"decreased ability think remember, problem language"
Dementia,"decreased motivation, emotional problem"
Dementia,"decreased ability think remember, emotional problem"
Dementia,"decreased ability think remember, decreased motivation"
Dementia,"decreased motivation, emotional problem, problem language"
Dementia,"decreased ability think remember, emotional problem, problem language"
Dementia,"decreased ability think remember, decreased motivation, problem language"
Dementia,"decreased ability think remember, decreased motivation, emotional problem"
Dementia,"decreased ability think remember, decreased motivation, emotional problem, problem language"
Dengue,fever
Dengue,muscle joint pain
Dengue,headache
Dengue,maculopapular rash
Dengue,"fever, muscle joint pain"
Dengue,"fever, headache"
Dengue,"fever, maculopapular rash"
Dengue,"headache, muscle joint pain"
Dengue,"maculopapular rash, muscle joint pain"
Dengue,"headache, maculopapular rash"
Dengue,"fever, headache, muscle joint pain"
Dengue,"fever, maculopapular rash, muscle joint pain"
Dengue,"fever, headache, maculopapular rash"
Dengue,"headache, maculopapular rash, muscle joint pain"
Dengue,"fever, headache, maculopapular rash, muscle joint pain"
Diabetes Mellitus,frequent urination
Diabetes Mellitus,increased hunger
Diabetes Mellitus,increased thirst
Diabetes Mellitus,"frequent urination, increased hunger"
Diabetes Mellitus,"frequent urination, increased thirst"
Diabetes Mellitus,"increased hunger, increased thirst"
Diabetes Mellitus,"frequent urination, increased hunger, increased thirst"
Diabetic Retinopathy,vision loss
Diabetic Retinopathy,blurry vision
Diabetic Retinopathy,may symptom
Diabetic Retinopathy,blindness
Diabetic Retinopathy,"blurry vision, vision loss"
Diabetic Retinopathy,"may symptom, vision loss"
Diabetic Retinopathy,"blindness, vision loss"
Diabetic Retinopathy,"blurry vision, may symptom"
Diabetic Retinopathy,"blindness, blurry vision"
Diabetic Retinopathy,"blindness, may symptom"
Diabetic Retinopathy,"blurry vision, may symptom, vision loss"
Diabetic Retinopathy,"blindness, blurry vision, vision loss"
Diabetic Retinopathy,"blindness, may symptom, vision loss"
Diabetic Retinopathy,"blindness, blurry vision, may symptom"
Diabetic Retinopathy,"blindness, blurry vision, may symptom, vision loss"
Diarrhea,loose frequent bowel movement
Diarrhea,dehydration
Diarrhea,"dehydration, loose frequent bowel movement"
Diphtheria,barky cough
Diphtheria,fever
Diphtheria,sore throat
Diphtheria,"barky cough, fever"
Diphtheria,"barky cough, sore throat"
Diphtheria,"fever, sore throat"
Diphtheria,"barky cough, fever, sore throat"
Down's Syndrome,characteristic facial feature
Down's Syndrome,mild moderate intellectual disability
Down's Syndrome,delayed physical growth
Down's Syndrome,"characteristic facial feature, mild moderate intellectual disability"
Down's Syndrome,"characteristic facial feature, delayed physical growth"
Down's Syndrome,"delayed physical growth, mild moderate intellectual disability"
Down's Syndrome,"characteristic facial feature, delayed physical growth, mild moderate intellectual disability"
Dracunculiasis (guinea-worm disease),painful blister lower leg
Dysentery,fever
Dysentery,bloody diarrhea
Dysentery,testicular pain
Dysentery,"bloody diarrhea, fever"
Dysentery,"fever, testicular pain"
Dysentery,"bloody diarrhea, testicular pain"
Dysentery,"bloody diarrhea, fever, testicular pain"
Ear infection,fever
Ear infection,ear pain
Ear infection,hearing loss
Ear infection,"ear pain, fever"
Ear infection,"fever, hearing loss"
Ear infection,"ear pain, hearing loss"
Ear infection,"ear pain, fever, hearing loss"
Early pregnancy loss,vaginal bleeding without pain
Ebola,diarrhoea
Ebola,fever
Ebola,headache
Ebola,vaginal bleeding
Ebola,muscular pain
Ebola,sore throat
Ebola,"diarrhoea, fever"
Ebola,"diarrhoea, headache"
Ebola,"diarrhoea, vaginal bleeding"
Ebola,"diarrhoea, muscular pain"
Ebola,"diarrhoea, sore throat"
Ebola,"fever, headache"
Ebola,"fever, vaginal bleeding"
Ebola,"fever, muscular pain"
Ebola,"fever, sore throat"
Ebola,"headache, vaginal bleeding"
Ebola,"headache, muscular pain"
Ebola,"headache, sore throat"
Ebola,"muscular pain, vaginal bleeding"
Ebola,"sore throat, vaginal bleeding"
Ebola,"muscular pain, sore throat"
Ebola,"diarrhoea, fever, headache"
Ebola,"diarrhoea, fever, vaginal bleeding"
Ebola,"diarrhoea, fever, muscular pain"
Ebola,"diarrhoea, fever, sore throat"
Ebola,"diarrhoea, headache, vaginal bleeding"
Ebola,"diarrhoea, headache, muscular pain"
Ebola,"diarrhoea, headache, sore throat"
Ebola,"diarrhoea, muscular pain, vaginal bleeding"
Ebola,"diarrhoea, sore throat, vaginal bleeding"
Ebola,"diarrhoea, muscular pain, sore throat"
Ebola,"fever, headache, vaginal bleeding"
Ebola,"fever, headache, muscular pain"
Ebola,"fever, headache, sore throat"
Ebola,"fever, muscular pain, vaginal bleeding"
Ebola,"fever, sore throat, vaginal bleeding"
Ebola,"fever, muscular pain, sore throat"
Ebola,"headache, muscular pain, vaginal bleeding"
Ebola,"headache, sore throat, vaginal bleeding"
Ebola,"headache, muscular pain, sore throat"
Ebola,"muscular pain, sore throat, vaginal bleeding"
Ebola,"diarrhoea, fever, headache, vaginal bleeding"
Ebola,"diarrhoea, fever, headache, muscular pain"
Ebola,"diarrhoea, fever, headache, sore throat"
Ebola,"diarrhoea, fever, muscular pain, vaginal bleeding"
Ebola,"diarrhoea, fever, sore throat, vaginal bleeding"
Ebola,"diarrhoea, fever, muscular pain, sore throat"
Ebola,"diarrhoea, headache, muscular pain, vaginal bleeding"
Ebola,"diarrhoea, headache, sore throat, vaginal bleeding"
Ebola,"diarrhoea, headache, muscular pain, sore throat"
Ebola,"diarrhoea, muscular pain, sore throat, vaginal bleeding"
Ebola,"fever, headache, muscular pain, vaginal bleeding"
Ebola,"fever, headache, sore throat, vaginal bleeding"
Ebola,"fever, headache, muscular pain, sore throat"
Ebola,"fever, muscular pain, sore throat, vaginal bleeding"
Ebola,"headache, muscular pain, sore throat, vaginal bleeding"
Ebola,"diarrhoea, fever, headache, muscular pain, vaginal bleeding"
Ebola,"diarrhoea, fever, headache, sore throat, vaginal bleeding"
Ebola,"diarrhoea, fever, headache, muscular pain, sore throat"
Ebola,"diarrhoea, fever, muscular pain, sore throat, vaginal bleeding"
Ebola,"diarrhoea, headache, muscular pain, sore throat, vaginal bleeding"
Ebola,"fever, headache, muscular pain, sore throat, vaginal bleeding"
Ebola,"diarrhoea, fever, headache, muscular pain, sore throat, vaginal bleeding"
Eclampsia,high blood pressure
Eclampsia,seizure
Eclampsia,"high blood pressure, seizure"
Ectopic pregnancy,testicular pain
Ectopic pregnancy,vaginal bleeding
Ectopic pregnancy,"testicular pain, vaginal bleeding"
Eczema,maculopapular rash
Eczema,itchiness
Eczema,red skin
Eczema,"itchiness, maculopapular rash"
Eczema,"maculopapular rash, red skin"
Eczema,"itchiness, red skin"
Eczema,"itchiness, maculopapular rash, red skin"
Endometriosis,infertility
Endometriosis,testicular pain
Endometriosis,"infertility, testicular pain"
Epilepsy,period vigorous shaking
Epilepsy,nearly undetectable spell
Epilepsy,"nearly undetectable spell, period vigorous shaking"
Fibroids,painful heavy period
Fibromyalgia,sleep problem
Fibromyalgia,feeling tired
Fibromyalgia,widespread pain
Fibromyalgia,"feeling tired, sleep problem"
Fibromyalgia,"sleep problem, widespread pain"
Fibromyalgia,"feeling tired, widespread pain"
Fibromyalgia,"feeling tired, sleep problem, widespread pain"
Food Poisoning,vomiting
Food Poisoning,fever
Food Poisoning,diarrhea
Food Poisoning,abdominal cramp
Food Poisoning,"fever, vomiting"
Food Poisoning,"diarrhea, vomiting"
Food Poisoning,"abdominal cramp, vomiting"
Food Poisoning,"diarrhea, fever"
Food Poisoning,"abdominal cramp, fever"
Food Poisoning,"abdominal cramp, diarrhea"
Food Poisoning,"diarrhea, fever, vomiting"
Food Poisoning,"abdominal cramp, fever, vomiting"
Food Poisoning,"abdominal cramp, diarrhea, vomiting"
Food Poisoning,"abdominal cramp, diarrhea, fever"
Food Poisoning,"abdominal cramp, diarrhea, fever, vomiting"
Frost Bite,pale color
Frost Bite,feeling cold
Frost Bite,clumsy
Frost Bite,numbness
Frost Bite,"feeling cold, pale color"
Frost Bite,"clumsy, pale color"
Frost Bite,"numbness, pale color"
Frost Bite,"clumsy, feeling cold"
Frost Bite,"feeling cold, numbness"
Frost Bite,"clumsy, numbness"
Frost Bite,"clumsy, feeling cold, pale color"
Frost Bite,"feeling cold, numbness, pale color"
Frost Bite,"clumsy, numbness, pale color"
Frost Bite,"clumsy, feeling cold, numbness"
Frost Bite,"clumsy, feeling cold, numbness, pale color"
GERD,breathing problem
GERD,bad breath
GERD,taste acid
GERD,heartburn
GERD,chest pain
GERD,"bad breath, breathing problem"
GERD,"breathing problem, taste acid"
GERD,"breathing problem, heartburn"
GERD,"breathing problem, chest pain"
GERD,"bad breath, taste acid"
GERD,"bad breath, heartburn"
GERD,"bad breath, chest pain"
GERD,"heartburn, taste acid"
GERD,"chest pain, taste acid"
GERD,"chest pain, heartburn"
GERD,"bad breath, breathing problem, taste acid"
GERD,"bad breath, breathing problem, heartburn"
GERD,"bad breath, breathing problem, chest pain"
GERD,"breathing problem, heartburn, taste acid"
GERD,"breathing problem, chest pain, taste acid"
GERD,"breathing problem, chest pain, heartburn"
GERD,"bad breath, heartburn, taste acid"
GERD,"bad breath, chest pain, taste acid"
GERD,"bad breath, chest pain, heartburn"
GERD,"chest pain, heartburn, taste acid"
GERD,"bad breath, breathing problem, heartburn, taste acid"
GERD,"bad breath, breathing problem, chest pain, taste acid"
GERD,"bad breath, breathing problem, chest pain, heartburn"
GERD,"breathing problem, chest pain, heartburn, taste acid"
GERD,"bad breath, chest pain, heartburn, taste acid"
GERD,"bad breath, breathing problem, chest pain, heartburn, taste acid"
Gaming disorder,social withdrawal
Gaming disorder,depression
Gaming disorder,playing video game extremely long period time
Gaming disorder,"depression, social withdrawal"
Gaming disorder,"playing video game extremely long period time, social withdrawal"
Gaming disorder,"depression, playing video game extremely long period time"
Gaming disorder,"depression, playing video game extremely long period time, social withdrawal"
Gangrene,skin breakdown
Gangrene,testicular pain
Gangrene,numbness
Gangrene,coolness
Gangrene,change skin color red black
Gangrene,"skin breakdown, testicular pain"
Gangrene,"numbness, skin breakdown"
Gangrene,"coolness, skin breakdown"
Gangrene,"change skin color red black, skin breakdown"
Gangrene,"numbness, testicular pain"
Gangrene,"coolness, testicular pain"
Gangrene,"change skin color red black, testicular pain"
Gangrene,"coolness, numbness"
Gangrene,"change skin color red black, numbness"
Gangrene,"change skin color red black, coolness"
Gangrene,"numbness, skin breakdown, testicular pain"
Gangrene,"coolness, skin breakdown, testicular pain"
Gangrene,"change skin color red black, skin breakdown, testicular pain"
Gangrene,"coolness, numbness, skin breakdown"
Gangrene,"change skin color red black, numbness, skin breakdown"
Gangrene,"change skin color red black, coolness, skin breakdown"
Gangrene,"coolness, numbness, testicular pain"
Gangrene,"change skin color red black, numbness, testicular pain"
Gangrene,"change skin color red black, coolness, testicular pain"
Gangrene,"change skin color red black, coolness, numbness"
Gangrene,"coolness, numbness, skin breakdown, testicular pain"
Gangrene,"change skin color red black, numbness, skin breakdown, testicular pain"
Gangrene,"change skin color red black, coolness, skin breakdown, testicular pain"
Gangrene,"change skin color red black, coolness, numbness, skin breakdown"
Gangrene,"change skin color red black, coolness, numbness, testicular pain"
Gangrene,"change skin color red black, coolness, numbness, skin breakdown, testicular pain"
Gastroenteritis,vomiting
Gastroenteritis,fever
Gastroenteritis,diarrhea
Gastroenteritis,testicular pain
Gastroenteritis,"fever, vomiting"
Gastroenteritis,"diarrhea, vomiting"
Gastroenteritis,"testicular pain, vomiting"
Gastroenteritis,"diarrhea, fever"
Gastroenteritis,"fever, testicular pain"
Gastroenteritis,"diarrhea, testicular pain"
Gastroenteritis,"diarrhea, fever, vomiting"
Gastroenteritis,"fever, testicular pain, vomiting"
Gastroenteritis,"diarrhea, testicular pain, vomiting"
Gastroenteritis,"diarrhea, fever, testicular pain"
Gastroenteritis,"diarrhea, fever, testicular pain, vomiting"
Genital herpes,flu like symptom
Genital herpes,small blister break open form painful ulcer
Genital herpes,"flu like symptom, small blister break open form painful ulcer"
Glaucoma,nausea
Glaucoma,eye pain
Glaucoma,mid dilated pupil
Glaucoma,vision loss
Glaucoma,redness eye
Glaucoma,"eye pain, nausea"
Glaucoma,"mid dilated pupil, nausea"
Glaucoma,"nausea, vision loss"
Glaucoma,"nausea, redness eye"
Glaucoma,"eye pain, mid dilated pupil"
Glaucoma,"eye pain, vision loss"
Glaucoma,"eye pain, redness eye"
Glaucoma,"mid dilated pupil, vision loss"
Glaucoma,"mid dilated pupil, redness eye"
Glaucoma,"redness eye, vision loss"
Glaucoma,"eye pain, mid dilated pupil, nausea"
Glaucoma,"eye pain, nausea, vision loss"
Glaucoma,"eye pain, nausea, redness eye"
Glaucoma,"mid dilated pupil, nausea, vision loss"
Glaucoma,"mid dilated pupil, nausea, redness eye"
Glaucoma,"nausea, redness eye, vision loss"
Glaucoma,"eye pain, mid dilated pupil, vision loss"
Glaucoma,"eye pain, mid dilated pupil, redness eye"
Glaucoma,"eye pain, redness eye, vision loss"
Glaucoma,"mid dilated pupil, redness eye, vision loss"
Glaucoma,"eye pain, mid dilated pupil, nausea, vision loss"
Glaucoma,"eye pain, mid dilated pupil, nausea, redness eye"
Glaucoma,"eye pain, nausea, redness eye, vision loss"
Glaucoma,"mid dilated pupil, nausea, redness eye, vision loss"
Glaucoma,"eye pain, mid dilated pupil, redness eye, vision loss"
Glaucoma,"eye pain, mid dilated pupil, nausea, redness eye, vision loss"
Goitre,sleeping problem
Goitre,irritability
Goitre,muscle weakness
Goitre,unintended weight loss
Goitre,enlarged thyroid
Goitre,poor tolerance heat
Goitre,fast heartbeat
Goitre,"irritability, sleeping problem"
Goitre,"muscle weakness, sleeping problem"
Goitre,"sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, sleeping problem"
Goitre,"poor tolerance heat, sleeping problem"
Goitre,"fast heartbeat, sleeping problem"
Goitre,"irritability, muscle weakness"
Goitre,"irritability, unintended weight loss"
Goitre,"enlarged thyroid, irritability"
Goitre,"irritability, poor tolerance heat"
Goitre,"fast heartbeat, irritability"
Goitre,"muscle weakness, unintended weight loss"
Goitre,"enlarged thyroid, muscle weakness"
Goitre,"muscle weakness, poor tolerance heat"
Goitre,"fast heartbeat, muscle weakness"
Goitre,"enlarged thyroid, unintended weight loss"
Goitre,"poor tolerance heat, unintended weight loss"
Goitre,"fast heartbeat, unintended weight loss"
Goitre,"enlarged thyroid, poor tolerance heat"
Goitre,"enlarged thyroid, fast heartbeat"
Goitre,"fast heartbeat, poor tolerance heat"
Goitre,"irritability, muscle weakness, sleeping problem"
Goitre,"irritability, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, irritability, sleeping problem"
Goitre,"irritability, poor tolerance heat, sleeping problem"
Goitre,"fast heartbeat, irritability, sleeping problem"
Goitre,"muscle weakness, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, muscle weakness, sleeping problem"
Goitre,"muscle weakness, poor tolerance heat, sleeping problem"
Goitre,"fast heartbeat, muscle weakness, sleeping problem"
Goitre,"enlarged thyroid, sleeping problem, unintended weight loss"
Goitre,"poor tolerance heat, sleeping problem, unintended weight loss"
Goitre,"fast heartbeat, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, poor tolerance heat, sleeping problem"
Goitre,"enlarged thyroid, fast heartbeat, sleeping problem"
Goitre,"fast heartbeat, poor tolerance heat, sleeping problem"
Goitre,"irritability, muscle weakness, unintended weight loss"
Goitre,"enlarged thyroid, irritability, muscle weakness"
Goitre,"irritability, muscle weakness, poor tolerance heat"
Goitre,"fast heartbeat, irritability, muscle weakness"
Goitre,"enlarged thyroid, irritability, unintended weight loss"
Goitre,"irritability, poor tolerance heat, unintended weight loss"
Goitre,"fast heartbeat, irritability, unintended weight loss"
Goitre,"enlarged thyroid, irritability, poor tolerance heat"
Goitre,"enlarged thyroid, fast heartbeat, irritability"
Goitre,"fast heartbeat, irritability, poor tolerance heat"
Goitre,"enlarged thyroid, muscle weakness, unintended weight loss"
Goitre,"muscle weakness, poor tolerance heat, unintended weight loss"
Goitre,"fast heartbeat, muscle weakness, unintended weight loss"
Goitre,"enlarged thyroid, muscle weakness, poor tolerance heat"
Goitre,"enlarged thyroid, fast heartbeat, muscle weakness"
Goitre,"fast heartbeat, muscle weakness, poor tolerance heat"
Goitre,"enlarged thyroid, poor tolerance heat, unintended weight loss"
Goitre,"enlarged thyroid, fast heartbeat, unintended weight loss"
Goitre,"fast heartbeat, poor tolerance heat, unintended weight loss"
Goitre,"enlarged thyroid, fast heartbeat, poor tolerance heat"
Goitre,"irritability, muscle weakness, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, irritability, muscle weakness, sleeping problem"
Goitre,"irritability, muscle weakness, poor tolerance heat, sleeping problem"
Goitre,"fast heartbeat, irritability, muscle weakness, sleeping problem"
Goitre,"enlarged thyroid, irritability, sleeping problem, unintended weight loss"
Goitre,"irritability, poor tolerance heat, sleeping problem, unintended weight loss"
Goitre,"fast heartbeat, irritability, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, irritability, poor tolerance heat, sleeping problem"
Goitre,"enlarged thyroid, fast heartbeat, irritability, sleeping problem"
Goitre,"fast heartbeat, irritability, poor tolerance heat, sleeping problem"
Goitre,"enlarged thyroid, muscle weakness, sleeping problem, unintended weight loss"
Goitre,"muscle weakness, poor tolerance heat, sleeping problem, unintended weight loss"
Goitre,"fast heartbeat, muscle weakness, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, muscle weakness, poor tolerance heat, sleeping problem"
Goitre,"enlarged thyroid, fast heartbeat, muscle weakness, sleeping problem"
Goitre,"fast heartbeat, muscle weakness, poor tolerance heat, sleeping problem"
Goitre,"enlarged thyroid, poor tolerance heat, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, fast heartbeat, sleeping problem, unintended weight loss"
Goitre,"fast heartbeat, poor tolerance heat, sleeping problem, unintended weight loss"
Goitre,"enlarged thyroid, fast heartbeat, poor tolerance heat, sleeping problem"
Goitre,"enlarged thyroid, irritability, muscle weakness, unintended weight loss"
Goitre,"irritability, muscle weakness, poor tolerance heat, unintended weight loss"
